World Development Indicators
Number of countries,3
Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Germany,57.71833398,67.14964818,70.65529898,77.33760059,85.06020667,94.55486999,102.2828888,115.1403608,126.5575074,126.2280577,106.4836959,109.6595675,111.5940398
Brazil,13.28797717,16.24346532,19.44379918,25.51445011,35.65289881,46.31418452,53.11025849,63.67475185,78.5549801,87.54187651,100.8810115,119.0023853,125.0018521
Bangladesh,0.210751714,0.385958523,0.784635571,0.980702181,1.969454675,6.28776238,13.20573922,23.46762823,30.16828408,34.35334451,44.94535882,55.19256723,62.82023906
